train_acc,train_loss,val_acc,val_loss
0.024757894736842104,4.4769254,0.031200000000000002,4.3174615
0.038400000000000004,4.263554,0.0572,4.157412
0.05225263157894738,4.127682,0.0512,4.2420006
0.0648842105263158,4.0198245,0.0828,3.912307
0.0769263157894737,3.9420543,0.07400000000000001,4.073013
0.08509473684210526,3.8931446,0.09999999999999998,3.8035874
0.09823157894736845,3.819682,0.11320000000000002,3.7319775
0.10385263157894738,3.7669878,0.10279999999999999,3.821966
0.11427368421052635,3.7172778,0.1268,3.6221104
0.12101052631578949,3.6613095,0.1364,3.6033747
0.13046315789473684,3.616148,0.1284,3.6075244
0.14122105263157894,3.5617883,0.1564,3.4408615
0.15073684210526314,3.503442,0.14880000000000002,3.5732796
0.15789473684210525,3.4679842,0.16160000000000005,3.392261
0.16884210526315788,3.4050057,0.18439999999999998,3.286395
0.17709473684210528,3.352255,0.1496,3.501453
0.18667368421052635,3.3076777,0.19920000000000002,3.2109437
0.19433684210526317,3.2506044,0.21000000000000005,3.1461985
0.20143157894736843,3.2186966,0.19240000000000002,3.2467644
0.21021052631578946,3.1597822,0.23279999999999998,3.0668032
0.22296842105263157,3.1121993,0.212,3.1573334
0.2264421052631579,3.0881763,0.22400000000000003,3.1101763
0.23907368421052633,3.0314457,0.25279999999999997,2.9275215
0.2443578947368421,2.9920237,0.21359999999999998,3.1604574
0.2521894736842105,2.9509797,0.26880000000000004,2.8750372
0.26237894736842104,2.9009142,0.27160000000000006,2.8723824
0.2690526315789473,2.8776846,0.2248,3.046126
0.27858947368421055,2.8281145,0.2928,2.7775567
0.28456842105263164,2.7920175,0.27880000000000005,2.8369741
0.2849473684210526,2.7840035,0.2792,2.8557074
0.2962947368421053,2.72835,0.3144,2.6815271
0.30069473684210524,2.7033508,0.264,2.8754175
0.3041684210526315,2.6811976,0.3096,2.656914
0.31526315789473686,2.636283,0.3288,2.6181881
0.31778947368421057,2.6232355,0.26320000000000005,3.0155914
0.3277052631578948,2.588121,0.3424000000000001,2.5560317
0.3330105263157895,2.550072,0.3004,2.734426
0.3311368421052631,2.5528052,0.3332,2.5651095
0.3430105263157895,2.5030212,0.35120000000000007,2.4558222
0.34642105263157896,2.4877293,0.29919999999999997,2.7642803
0.34922105263157893,2.46329,0.3572000000000001,2.4537034
0.35694736842105257,2.429485,0.3495999999999999,2.4948564
0.35892631578947365,2.4224958,0.3184,2.670204
0.36469473684210524,2.3949726,0.3863999999999999,2.3292203
0.3740842105263158,2.363805,0.3672000000000001,2.4527235
0.3720631578947369,2.3548245,0.34519999999999995,2.506533
0.3797473684210526,2.3209612,0.3832,2.326159
0.38378947368421057,2.307005,0.35960000000000003,2.458995
0.38250526315789474,2.3018153,0.3876,2.2955983
0.3930526315789473,2.2593281,0.40080000000000005,2.2730978
0.39338947368421057,2.256945,0.33480000000000004,2.6097848
0.40286315789473687,2.2291906,0.3968,2.2613456
0.40566315789473684,2.2071605,0.39559999999999995,2.3173685
0.40608421052631577,2.2125611,0.3872,2.3590126
0.41437894736842107,2.1702266,0.40919999999999995,2.1806676
0.41353684210526315,2.168185,0.3556,2.445636
0.4147368421052632,2.1567986,0.41679999999999995,2.1889963
0.42406315789473686,2.1243026,0.40120000000000006,2.2095964
0.4278947368421053,2.1232896,0.3896,2.315067
0.42772631578947373,2.1046007,0.4396,2.1428568
0.4312421052631579,2.0905254,0.40680000000000005,2.2253625
0.43187368421052635,2.084411,0.3892,2.3204794
0.43894736842105264,2.0607095,0.4356000000000001,2.0940485
0.44073684210526315,2.0475798,0.37640000000000007,2.328862
0.44284210526315787,2.0392873,0.42839999999999995,2.1410534
0.4485263157894737,2.0099154,0.424,2.1592758
0.4501052631578948,2.01586,0.3848,2.3241754
0.4545052631578947,1.9945898,0.4336,2.0722895
0.4574315789473684,1.9840754,0.43839999999999996,2.1259675
0.4578526315789474,1.9865915,0.3963999999999999,2.2820559
0.462821052631579,1.9601347,0.45559999999999995,2.033125
0.4651578947368421,1.954311,0.4000000000000001,2.27064
0.4654947368421053,1.9452938,0.4472,2.045779
0.47010526315789475,1.923543,0.4488,2.0319662
0.47223157894736845,1.9185593,0.418,2.2445717
0.474421052631579,1.9059353,0.46520000000000006,1.9866539
0.47884210526315785,1.8887578,0.4216,2.2361424
0.4757684210526316,1.8984529,0.43119999999999997,2.098304
0.48317894736842104,1.866671,0.462,1.9735266
0.4837684210526316,1.8683825,0.4192,2.2449336
0.4816842105263158,1.8755181,0.46880000000000005,1.980183
0.49313684210526315,1.8378463,0.45960000000000006,1.9859908
0.4850736842105263,1.8527879,0.41800000000000004,2.2041175
0.4918105263157895,1.8335865,0.47239999999999993,1.9463294
0.49439999999999995,1.823293,0.42879999999999996,2.159561
0.492378947368421,1.8229282,0.43800000000000006,2.1204958
0.5003578947368421,1.7915502,0.4752,1.9226062
0.4991368421052631,1.7970027,0.43079999999999996,2.0912242
0.5004842105263159,1.797038,0.46840000000000004,1.995068
0.5078105263157894,1.7722337,0.4744,1.973822
0.5045473684210526,1.7835722,0.43080000000000007,2.1388748
0.5096842105263157,1.7642342,0.4876,1.9217186
0.5096421052631579,1.7477382,0.46240000000000003,2.039117
0.5101684210526316,1.7609897,0.45,2.1046255
0.5139157894736842,1.7380042,0.4796,1.9126544
0.5143157894736843,1.7350514,0.4376,2.090201
0.5147368421052632,1.7340697,0.47759999999999997,1.9201818
0.5175578947368421,1.7193365,0.4692,1.9441764
0.5211368421052632,1.7095118,0.42479999999999996,2.2042115
0.5250315789473685,1.7083123,0.48480000000000006,1.9013891
